requirement,implemented file,relevant line or section,automated test,status,notes
"Exactly four official bounded smoke runs use seed 42 CPU and 128 timesteps without performance comparison","data/manifests/phase7h_smoke_summary.json; docs/phase7h_ppo_integration_smoke_report.md","four correctness-only run rows","Phase7HArtifactTests.test_adapter_and_smoke_summaries_are_correctness_only",implemented,"No reward BIS ranking best condition or persistent checkpoint"
"P0S0 repeated smoke execution records deterministic parameter checksums without selecting a run","data/manifests/phase7h_determinism_summary.json; docs/phase7h_determinism_report.md","two 128-transition repetitions","Phase7HArtifactTests.test_determinism_and_source_boundaries",implemented,"Engineering reproducibility only not policy quality"
"Base Stage I and Stage II remain free of optional RL imports","src/vitaldb_state_selection/pkpd; src/vitaldb_state_selection/anesthesia","source import boundary","Phase7HArtifactTests.test_base_scientific_packages_do_not_import_optional_rl",implemented,"Base tests skip optional RL tests when dependencies are absent"
"Phase 7H preserves frozen cohort source checksums legacy state and prohibited execution boundaries","data/manifests/phase7h_source_snapshot.json","input hashes legacy state and execution flags","Phase7HArtifactTests.test_determinism_and_source_boundaries",implemented,"No split raw actual template real patient full training evaluation statistics or model retention"
"Phase 7H content artifacts are checksum-versioned","data/manifests/phase7h_artifact_checksums.json","self-excluding artifact inventory","Phase7HArtifactTests.test_artifact_checksums",implemented,"Publication-only status metadata is outside the content checksum"
"Phase 8C parses and bundles only sealed-train patient profiles and rejects test or unknown cases before private path access","src/vitaldb_state_selection/cohort/train_runtime_inputs.py; data/manifests/phase8c_runtime_input_summary.json","1970 train profiles zero test metadata rows parsed zero invalid profiles","Phase8CTrainRuntimeInputUnitTests.test_train_patient_profile_accounting_mapping_and_required_values",implemented,"No fallback or imputation was required and case-level profiles remain private"
"Phase 8C uses only exact RFTN20_RATE with documented mL/hr times 20 mcg/mL divided by 60 conversion","src/vitaldb_state_selection/cohort/train_runtime_inputs.py; data/manifests/phase8c_source_snapshot.json","exact track source and runtime units","Phase8CTrainRuntimeInputUnitTests.test_rftn20_unit_conversion_is_exact_and_negative_is_rejected",implemented,"No RFTN50 merge or new alias was introduced"
"Every sealed train case has one checksum-pinned causal remifentanil schedule and no test raw access","data/manifests/phase8c_runtime_input_summary.json; data/processed/phase8c_train_runtime_inputs_v1/access_ledger.csv","1970 train logical accesses zero test accesses","Phase8CRuntimeArtifactTests.test_access_ledger_is_exactly_one_train_remifentanil_access_per_case",implemented,"Private ledger and schedules are ignored and not published"
"S0 and S1 use one train-only scaler each and P0/P1 share the state-specific scaler","data/manifests/phase8c_scaler_registry.json","34 and 42 ordered fields binary masks unchanged","Phase8CRuntimeArtifactTests.test_s0_s1_scalers_are_train_only_and_p_invariant",implemented,"Zero variance uses scale one and no test case contributes"
"All four real-train runtime conditions pass deterministic reset step and bounded PPO smoke with seed 42","data/manifests/phase8c_smoke_summary.json; docs/phase8c_train_runtime_input_report.md","four 128-timestep correctness-only rows","Phase8CArtifactTests.test_preflight_and_smoke_are_four_condition_correctness_only",implemented,"No reward ranking final training evaluation model or checkpoint"
"Phase 8C public artifacts are aggregate-only while both private stores remain ignored and checksum-rooted","data/manifests/phase8c_artifact_checksums.json; data/manifests/phase8c_runtime_input_summary.json","public inventory and Phase 8B Phase 8C roots","Phase8CArtifactTests.test_public_artifacts_are_aggregate_only_and_contain_no_local_path",implemented,"No case row subject ID event timestamp observation array raw signal model or checkpoint is published"
"Phase 8D freezes one equal-compute PPO configuration and seed 42 for all four conditions","data/manifests/phase8d_final_ppo_config.json; data/manifests/phase8d_training_protocol.json","resolved configuration and equal-compute protocol","Phase8DTrainingProtocolTests.test_resolved_hyperparameters_and_architecture_are_common",implemented,"The 10^6 paper epoch report is not claimed equivalent to SB3 optimizer updates"
"Phase 8D shards cover every condition exactly once without overlap","data/manifests/phase8d_shard_definition.json","Laptop A P0S0 P1S0 and Laptop B P0S1 P1S1","Phase8DTrainingProtocolTests.test_shards_are_disjoint_and_cover_each_condition_once",implemented,"Conditions execute sequentially within each shard"
"Every condition uses the same deterministic uniform sequence over all 1970 sealed train cases","data/manifests/phase8d_sampling_summary.json; src/vitaldb_state_selection/rl_integration/final_training.py","PCG64 seed 42 universe and ordered sequence checksums","Phase8DFinalTrainingTests.test_same_deterministic_sequence_for_every_condition",implemented,"The case sequence remains private and test cases are refused"
"Phase 8D checkpoints are atomic checksum-verified and mismatch refusing","src/vitaldb_state_selection/rl_integration/final_training.py","100000-step schedule model optimizer RNG and runtime metadata","Phase8DFinalTrainingTests.test_checkpoint_atomicity_corruption_and_mismatch_refusal",implemented,"Resume is best effort because a partial SB3 rollout buffer is not serialized"
"All four real-train conditions pass a 1024-timestep persistence-free preflight","data/manifests/phase8d_preflight_summary.json","four conditions finite parameters gradients and logged training values","Phase8DTrainingProtocolTests.test_four_condition_preflight_passes_without_persistence_or_test_access",implemented,"Preflight timesteps are excluded from final training budgets"
"Phase 8D public artifacts exclude models checkpoints progress logs case sequence identifiers and test evaluation","data/manifests/phase8d_artifact_checksums.json; docs/phase8d_training_infrastructure_report.md","self-excluded public inventory and publication boundary","Phase8DTrainingProtocolTests.test_runner_exposes_no_evaluation_or_selection_capability",implemented,"Final outputs remain ignored under data/processed and no condition comparison is performed"
"Phase 8E uses exactly the 490 sealed-test cases and refuses train cases before raw access","src/vitaldb_state_selection/cohort/test_observation_templates.py","load_test_cases and TestRawAccessGuard membership gate","Phase8ETestInputTests.test_sealed_test_membership_and_patient_profiles_are_exactly_490",implemented,"Phase 8A seal remains authoritative"
"Test template extraction accesses BIS and SQI exactly once per case and never persists raw BIS values","data/manifests/phase8e_test_input_summary.json; src/vitaldb_state_selection/cohort/test_observation_templates.py","490 BIS and 490 SQI logical accesses; private payload allowlist","Phase8EArtifactTests.test_private_store_counts_roots_and_accesses",implemented,"Event values and timestamps remain private"
"Test runtime extraction accesses exact RFTN20_RATE only and uses no propofol raw source","src/vitaldb_state_selection/cohort/test_runtime_inputs.py","TestRemifentanilAccessGuard exact allowlist","Phase8EArtifactTests.test_no_propofol_or_train_access_and_train_roots_unchanged",implemented,"Approved Phase 8C unit conversion is reused"
"Every test patient profile is complete and no unapproved fallback or imputation is used","data/manifests/phase8e_test_input_summary.json","missing invalid and fallback fields","Phase8EArtifactTests.test_private_store_counts_roots_and_accesses",implemented,"All counts are aggregate-only"
"Frozen train-only S0 and S1 scalers are applied without test fitting or update","data/manifests/phase8e_evaluation_config.json; data/manifests/phase8e_test_input_summary.json","34 and 42 fields; 1960 finite applications","Phase8ETestInputTests.test_train_scalers_are_reused_without_test_fit",implemented,"P pairs share their S-specific scaler"
"Final evaluation requires all four exact one-million-step seed-42 final models","src/vitaldb_state_selection/rl_integration/final_evaluation.py","verify_four_models and verify_final_model","Phase8EEvaluationTests.test_four_final_models_and_exact_timestep_are_required",implemented,"Missing Shard B refuses actual evaluation without blocking readiness publication"
"Evaluation defaults to verify-only and explicit execute is required for policy episodes","scripts/run_phase8e_final_evaluation.py","CLI safe branch and execute gate","Phase8EEvaluationTests.test_runner_default_is_verify_only_and_execute_is_explicit",implemented,"Verify-only never imports or loads PPO"
"Control metrics use simulator latent BIS with frozen target 50 and range 40 to 60","data/manifests/phase8e_metric_manifest.json","metric source constants and units","Phase8EEvaluationTests.test_metrics_use_latent_bis_and_frozen_thresholds",implemented,"Observation visibility is not an outcome"
"Paired 2 by 2 contrasts preserve the same case under all four conditions","data/manifests/phase8e_statistics_plan.json; src/vitaldb_state_selection/statistics/paired_evaluation.py","five contrast weight definitions","Phase8EEvaluationTests.test_paired_contrast_and_synthetic_statistics",implemented,"Only synthetic values were computed during readiness"
"Phase 8E private stores outputs models and checkpoints remain Git ignored and untracked","data/manifests/phase8e_artifact_checksums.json","public inventory and privacy scan","Phase8EArtifactTests.test_private_paths_are_ignored_and_untracked",implemented,"Public event-level values and case identifiers are zero"
"Phase 8F manuscript uses only checksum-frozen result mappings without fabricating performance","paper/manuscript.md; paper/generated/manuscript_token_map.json","abstract results discussion limitations and exact token mappings","Phase8FArtifactTests.test_manuscript_contains_only_frozen_results_and_required_sections",implemented,"All pending tokens were resolved after aggregate freeze and no condition is selected"
"Phase 8F records zero model load test episode condition comparison and Shard B access","data/manifests/phase8f_source_snapshot.json","execution_boundaries","Phase8FArtifactTests.test_source_snapshot_checksums_and_execution_boundaries",implemented,"Source hashes are pinned and the complete test suite was deliberately not run"
"Publication rendering requires the frozen four conditions seed timestep test accounting metrics and contrasts","schemas/phase8f_aggregate_results.schema.json; src/vitaldb_state_selection/publication/phase8f_renderer.py","strict JSON schema and semantic validation","Phase8FRendererTests.test_wrong_seed_timestep_and_test_count_are_rejected",implemented,"The renderer neither alters Phase 8E semantics nor ranks conditions"
"Phase 8F rejects case event raw trajectory private-path and nonfinite aggregate payloads","src/vitaldb_state_selection/publication/phase8f_renderer.py","privacy walk and finite validation","Phase8FRendererTests.test_event_case_and_private_path_leakage_is_rejected",implemented,"Only aggregate and subject-level publication-safe values are accepted"
"Phase 8F renders deterministic Markdown CSV LaTeX and JSON and refuses implicit overwrite","scripts/render_phase8f_paper_tables.py; src/vitaldb_state_selection/publication/phase8f_renderer.py","render_payloads and write_outputs","Phase8FRendererTests.test_valid_synthetic_fixture_and_all_formats_are_deterministic",implemented,"Verify-only performs no write and actual rendered bytes are independently cross-checked"
"Finalization keeps the Phase 8E runner unchanged and uses the separately authorized aggregate-freeze interface","docs/phase8f_finalization_runbook.md","sections 1 through 7","Phase8FArtifactTests.test_finalization_runbook_records_authorized_aggregate_interface",implemented,"The publication boundary was added only after private evaluation completed"
"Actual sealed-test evaluation accounts for every case under every frozen condition without silent exclusion","data/manifests/phase8e_final_results_integrity.json","1960 rows; 490 completed and 0 failed per condition","Phase8EFinalResultTests.test_complete_pairing_subject_aggregation_and_frozen_order",implemented,"The private case-level source is checksum-recorded but not published"
"Publication inference aggregates repeated cases within subject before paired statistics","paper/generated/phase8e_statistics_results.json","subject_aggregation and 483-subject accounting","Phase8EFinalResultTests.test_complete_pairing_subject_aggregation_and_frozen_order",implemented,"Only the 11 frozen metrics and five frozen contrasts are computed"
"Actual aggregate and rendered tables are schema-valid deterministic and disclosure-safe","paper/generated/phase8e_aggregate_results.json; paper/generated/tables","44 condition rows and 55 contrast rows","Phase8FArtifactTests.test_actual_aggregate_and_rendered_outputs_are_frozen_and_public_safe",implemented,"Public case-level and event-level row counts are zero"
"Manuscript result tokens are replaced only by exact checksum-pinned aggregate mappings","paper/manuscript.md; paper/generated/manuscript_token_map.json","37 replacements; 0 pending occurrences","Phase8FArtifactTests.test_manuscript_contains_only_frozen_results_and_required_sections",implemented,"No best condition or favorable narrative is selected"
